like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
-6e-08,2.459,2.459,2.459,1.0
-0.11456,2.365,2.18,1.797,1.0
-0.2406,2.273,1.9,4.03,1.0
-0.454,2.18,1.621,6.27,1.0
-0.602,2.086,1.341,8.51,1.0
-0.66,1.993,1.062,9.26,1.0
-0.564,1.9,1.237,7.023,1.0
-0.4116,1.807,1.518,4.79,1.0
-0.1606,1.714,1.797,2.553,1.0
-0.1146,1.621,2.076,1.703,1.0
-0.3965,1.527,2.355,3.94,1.0
-0.5703,1.435,2.635,6.176,1.0
-0.6787,1.341,2.914,8.414,1.0
-0.7197,1.248,3.193,9.35,1.0
-0.6685,1.155,3.473,7.117,1.0
-0.6206,1.062,3.754,4.883,1.0
-0.5903,1.052,4.03,2.646,1.0
-0.604,1.145,4.312,1.61,1.0
-0.5874,1.237,4.59,3.846,1.0
-0.6235,1.331,4.87,6.082,1.0
-0.6626,1.424,5.152,8.32,1.0
-0.6743,1.518,5.43,9.445,1.0
-0.6167,1.61,5.71,7.21,1.0
-0.57,1.703,5.99,4.973,1.0
-0.567,1.797,6.27,2.738,1.0
-0.6074,1.89,6.547,1.518,1.0
-0.554,1.983,6.83,3.754,1.0
-0.562,2.076,7.105,5.99,1.0
-0.588,2.17,7.387,8.23,1.0
-0.602,2.262,7.664,9.54,1.0
-0.564,2.355,7.945,7.305,1.0
-0.5444,2.45,8.23,5.066,1.0
-0.5674,2.541,8.51,2.832,1.0
-0.6187,2.635,8.78,1.424,1.0
-0.5522,2.729,9.06,3.66,1.0
-0.5396,2.822,9.34,5.895,1.0
-0.55,2.914,9.625,8.13,1.0
-0.5615,3.008,9.9,9.63,1.0
-0.5283,3.102,9.82,7.4,1.0
-0.5005,3.193,9.54,5.16,1.0
