like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
0.9985,6.883,3.514,1.647,1.0
0.9995,6.79,3.791,3.88,1.0
1.0,6.695,4.07,6.113,1.0
1.0,6.605,4.348,8.34,1.0
1.0,6.51,4.625,9.38,1.0
1.0,6.418,4.906,7.145,1.0
1.0,6.324,5.184,4.914,1.0
0.9995,6.23,5.46,2.68,1.0
0.9995,6.137,5.742,1.554,1.0
1.0,6.047,6.02,3.787,1.0
1.0,5.953,6.297,6.02,1.0
1.0,5.86,6.58,8.26,1.0
1.0,5.766,6.855,9.47,1.0
1.0,5.67,7.133,7.24,1.0
1.0,5.58,7.414,5.004,1.0
0.9995,5.484,7.69,2.771,1.0
0.9995,5.395,7.97,1.461,1.0
1.0,5.3,8.25,3.695,1.0
1.0,5.207,8.52,5.93,1.0
1.0,5.113,8.805,8.164,1.0
1.0,5.02,9.086,9.56,1.0
1.0,4.926,9.36,7.332,1.0
1.0,4.832,9.64,5.098,1.0
0.9995,4.742,9.92,2.865,1.0
0.999,4.65,9.74,1.368,1.0
0.9995,4.555,9.46,3.602,1.0
1.0,4.46,9.19,5.836,1.0
1.0,4.367,8.91,8.07,1.0
1.0,4.273,8.625,9.66,1.0
1.0,4.184,8.35,7.426,1.0
1.0,4.09,8.07,5.19,1.0
0.9995,3.996,7.793,2.959,1.0
0.9995,3.902,7.516,1.275,1.0
1.0,3.809,7.234,3.508,1.0
1.0,3.717,6.957,5.742,1.0
1.0,3.623,6.68,7.977,1.0
0.9995,3.53,6.4,9.75,1.0
1.0,3.436,6.12,7.52,1.0
1.0,3.344,5.844,5.285,1.0
1.0,3.25,5.562,3.05,1.0
0.9995,3.156,5.285,1.182,1.0
1.0,3.064,5.008,3.416,1.0
1.0,2.97,4.727,5.65,1.0
0.9995,2.877,4.45,7.883,1.0
0.999,2.785,4.17,9.84,1.0
0.9995,2.691,3.893,7.61,1.0
1.0,2.598,3.613,5.38,1.0
1.0,2.504,3.336,3.145,1.0
0.9995,2.412,3.057,1.089,1.0
1.0,2.318,2.78,3.322,1.0
0.9995,2.225,2.5,5.555,1.0
0.999,2.133,2.22,7.79,1.0
0.9985,2.04,1.942,9.94,1.0
0.9985,1.946,1.664,7.703,1.0
0.999,1.853,1.386,5.473,1.0
0.9995,1.76,1.107,3.238,1.0
1.0,1.666,1.191,1.004,1.0
0.9995,1.573,1.47,3.229,1.0
0.999,1.48,1.749,5.46,1.0
0.9985,1.387,2.027,7.695,1.0
0.998,1.294,2.305,9.93,1.0
0.9985,1.2,2.584,7.797,1.0
0.9995,1.107,2.863,5.562,1.0
0.9995,1.015,3.14,3.33,1.0
0.9995,1.099,3.42,1.098,1.0
1.0,1.192,3.7,3.137,1.0
0.9995,1.285,3.977,5.37,1.0
0.9995,1.378,4.254,7.6,1.0
0.999,1.472,4.535,9.836,1.0
0.9995,1.564,4.812,7.89,1.0
0.9995,1.658,5.09,5.656,1.0
1.0,1.751,5.37,3.424,1.0
0.9995,1.844,5.65,1.19,1.0
0.9995,1.9375,5.926,3.043,1.0
1.0,2.031,6.207,5.277,1.0
0.9995,2.123,6.484,7.508,1.0
0.9995,2.217,6.76,9.74,1.0
0.9995,2.31,7.04,7.984,1.0
1.0,2.402,7.32,5.75,1.0
0.9995,2.496,7.598,3.518,1.0
0.999,2.59,7.875,1.283,1.0
0.9995,2.684,8.16,2.95,1.0
1.0,2.775,8.44,5.184,1.0
1.0,2.87,8.71,7.418,1.0
0.9995,2.963,8.99,9.65,1.0
1.0,3.055,9.266,8.08,1.0
1.0,3.148,9.55,5.844,1.0
0.9995,3.242,9.83,3.61,1.0
0.999,3.334,9.836,1.377,1.0
0.9995,3.428,9.555,2.857,1.0
1.0,3.521,9.28,5.09,1.0
1.0,3.613,9.0,7.324,1.0
1.0,3.707,8.72,9.555,1.0
1.0,3.8,8.445,8.17,1.0
1.0,3.895,8.164,5.938,1.0
1.0,3.986,7.887,3.703,1.0
0.9995,4.08,7.605,1.47,1.0
0.9995,4.17,7.33,2.764,1.0
1.0,4.266,7.05,4.996,1.0
1.0,4.36,6.77,7.23,1.0
0.9995,4.453,6.492,9.46,1.0
1.0,4.547,6.215,8.266,1.0
1.0,4.64,5.934,6.03,1.0
1.0,4.73,5.656,3.797,1.0
0.9995,4.824,5.38,1.5625,1.0
1.0,4.918,5.1,2.67,1.0
1.0,5.01,4.82,4.902,1.0
1.0,5.105,4.543,7.137,1.0
0.9995,5.2,4.266,9.37,1.0
1.0,5.293,3.986,8.36,1.0
1.0,5.383,3.707,6.12,1.0
1.0,5.477,3.428,3.889,1.0
0.999,5.57,3.15,1.655,1.0
0.9995,5.664,2.871,2.578,1.0
0.9995,5.758,2.592,4.812,1.0
0.9995,5.85,2.314,7.043,1.0
0.9995,5.94,2.035,9.28,1.0
0.9995,6.035,1.757,8.445,1.0
0.9995,6.13,1.479,6.215,1.0
0.999,6.223,1.2,3.982,1.0
0.9966,6.316,1.099,1.749,1.0
0.998,6.41,1.377,2.484,1.0
0.999,6.504,1.655,4.72,1.0
0.9995,6.594,1.935,6.953,1.0
0.9995,6.688,2.213,9.19,1.0
0.9995,6.78,2.492,8.54,1.0
0.9995,6.875,2.77,6.31,1.0
0.9995,6.97,3.049,4.074,1.0
0.9985,7.062,3.326,1.842,1.0
0.999,7.156,3.605,2.393,1.0
0.9995,7.246,3.885,4.625,1.0
1.0,7.34,4.164,6.86,1.0
1.0,7.434,4.44,9.09,1.0
1.0,7.527,4.72,8.63,1.0
1.0,7.62,5.0,6.402,1.0
0.9995,7.715,5.277,4.168,1.0
0.999,7.805,5.555,1.935,1.0
0.999,7.9,5.832,2.299,1.0
1.0,7.992,6.113,4.53,1.0
1.0,8.086,6.39,6.766,1.0
1.0,8.18,6.668,9.0,1.0
1.0,8.27,6.95,8.73,1.0
1.0,8.37,7.227,6.496,1.0
0.9995,8.46,7.504,4.26,1.0
0.999,8.555,7.785,2.027,1.0
0.9995,8.65,8.06,2.205,1.0
1.0,8.734,8.34,4.438,1.0
1.0,8.83,8.62,6.67,1.0
