like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
0.89,5.633,9.44,2.824,1.0
0.924,5.727,8.305,3.104,1.0
0.965,5.82,6.07,3.383,1.0
0.991,5.914,3.834,3.662,1.0
0.9976,6.004,1.598,3.943,1.0
0.999,6.098,2.639,4.223,1.0
0.9956,6.19,4.875,4.5,1.0
0.988,6.285,7.11,4.78,1.0
0.9775,6.375,9.34,5.06,1.0
0.988,6.47,8.4,5.34,1.0
0.9985,6.562,6.164,5.62,1.0
0.9985,6.656,3.926,5.9,1.0
0.9863,6.75,1.69,6.18,1.0
0.99,6.84,2.545,6.457,1.0
0.998,6.934,4.78,6.74,1.0
1.0,9.79,9.79,9.79,1.0
0.995,9.88,9.914,7.953,1.0
0.968,9.98,9.63,5.72,1.0
0.889,9.914,9.35,3.482,1.0
0.6934,9.82,9.07,1.247,1.0
0.866,9.73,8.79,2.988,1.0
0.967,9.63,8.516,5.227,1.0
0.997,9.54,8.234,7.46,1.0
0.999,9.445,7.953,9.695,1.0
0.9995,9.35,7.676,8.05,1.0
0.9863,9.26,7.395,5.812,1.0
0.9263,9.17,7.117,3.576,1.0
0.7383,9.08,6.836,1.34,1.0
0.8965,8.984,6.56,2.896,1.0
0.984,8.89,6.277,5.133,1.0
1.0,8.8,5.996,7.367,1.0
0.9927,8.7,5.72,9.6,1.0
0.9976,8.61,5.438,8.14,1.0
0.9976,8.516,5.16,5.906,1.0
0.9614,8.42,4.88,3.67,1.0
0.7935,8.336,4.6,1.434,1.0
0.9297,8.24,4.32,2.803,1.0
0.9956,8.15,4.043,5.04,1.0
0.995,8.055,3.762,7.273,1.0
0.9795,7.96,3.482,9.51,1.0
0.9863,7.867,3.203,8.234,1.0
0.9976,7.777,2.924,5.996,1.0
0.988,7.684,2.645,3.762,1.0
0.8594,7.59,2.365,1.526,1.0
0.963,7.496,2.086,2.709,1.0
0.997,7.402,1.806,4.945,1.0
0.98,7.312,1.526,7.18,1.0
0.9575,7.22,1.247,9.414,1.0
0.964,7.125,1.032,8.33,1.0
0.986,7.03,1.3125,6.09,1.0
0.996,6.94,1.592,3.855,1.0
0.896,6.848,1.871,1.619,1.0
0.968,6.754,2.15,2.617,1.0
0.998,6.66,2.43,4.85,1.0
0.985,6.57,2.709,7.09,1.0
0.9673,6.477,2.988,9.32,1.0
0.9766,6.383,3.268,8.42,1.0
0.9946,6.29,3.549,6.184,1.0
0.9937,6.195,3.828,3.95,1.0
0.8765,6.105,4.105,1.713,1.0
0.943,6.01,4.387,2.523,1.0
0.999,5.918,4.664,4.758,1.0
0.994,5.824,4.945,6.996,1.0
0.979,5.734,5.227,9.234,1.0
0.9854,5.64,5.504,8.516,1.0
0.999,5.547,5.785,6.277,1.0
0.9863,5.453,6.062,4.043,1.0
0.854,5.363,6.344,1.806,1.0
0.91,5.27,6.62,2.43,1.0
0.9927,5.176,6.902,4.664,1.0
0.9985,5.082,7.18,6.902,1.0
0.988,4.99,7.46,9.14,1.0
0.9917,4.9,7.74,8.61,1.0
0.9995,4.805,8.02,6.37,1.0
0.975,4.71,8.3,4.137,1.0
0.832,4.617,8.58,1.899,1.0
0.8735,4.527,8.86,2.336,1.0
0.9805,4.434,9.14,4.574,1.0
0.999,4.34,9.414,6.81,1.0
0.994,4.246,9.695,9.05,1.0
0.996,4.156,9.98,8.7,1.0
0.9985,4.062,9.73,6.465,1.0
0.9727,3.969,9.445,4.227,1.0
0.8413,3.875,9.164,1.992,1.0
0.874,3.783,8.88,2.244,1.0
0.987,3.69,8.61,4.48,1.0
0.998,3.598,8.33,6.715,1.0
0.985,3.504,8.05,8.95,1.0
0.984,3.412,7.77,8.79,1.0
0.9966,3.318,7.49,6.56,1.0
0.9946,3.227,7.21,4.32,1.0
0.9067,3.133,6.93,2.086,1.0
0.92,3.041,6.65,2.15,1.0
0.9985,2.947,6.37,4.387,1.0
0.9873,2.854,6.09,6.62,1.0
0.965,2.762,5.812,8.86,1.0
0.961,2.668,5.53,8.88,1.0
0.979,2.576,5.254,6.65,1.0
0.997,2.482,4.973,4.414,1.0
0.971,2.39,4.695,2.178,1.0
0.9707,2.297,4.414,2.057,1.0
0.992,2.205,4.137,4.293,1.0
0.96,2.111,3.855,6.527,1.0
0.932,2.02,3.576,8.766,1.0
0.9253,1.926,3.297,8.98,1.0
0.9414,1.833,3.018,6.742,1.0
0.9663,1.74,2.738,4.508,1.0
0.999,1.647,2.457,2.271,1.0
0.9995,1.555,2.178,1.964,1.0
0.9497,1.462,1.899,4.2,1.0
0.909,1.369,1.619,6.438,1.0
0.885,1.276,1.34,8.67,1.0
0.8755,1.184,1.061,9.07,1.0
0.8906,1.09,1.219,6.836,1.0
0.922,1.0625,1.498,4.6,1.0
0.9824,1.155,1.778,2.365,1.0
0.9985,1.248,2.057,1.871,1.0
0.9585,1.341,2.336,4.105,1.0
0.932,1.434,2.617,6.344,1.0
0.9165,1.526,2.896,8.58,1.0
0.9175,1.619,3.176,9.164,1.0
0.9443,1.713,3.455,6.93,1.0
0.979,1.806,3.734,4.695,1.0
0.995,1.898,4.016,2.457,1.0
0.96,1.991,4.293,1.778,1.0
0.9966,2.084,4.574,4.016,1.0
0.9756,2.176,4.85,6.25,1.0
0.9565,2.27,5.133,8.484,1.0
0.9536,2.363,5.41,9.26,1.0
0.978,2.455,5.69,7.023,1.0
0.998,2.549,5.97,4.785,1.0
0.961,2.64,6.25,2.55,1.0
0.8794,2.734,6.527,1.685,1.0
0.9937,2.826,6.81,3.92,1.0
0.996,2.92,7.09,6.156,1.0
0.9824,3.012,7.367,8.39,1.0
0.9775,3.105,7.65,9.35,1.0
0.9946,3.197,7.926,7.117,1.0
0.9956,3.291,8.2,4.88,1.0
0.9194,3.383,8.484,2.645,1.0
0.804,3.477,8.766,1.592,1.0
0.968,3.57,9.05,3.828,1.0
0.998,3.662,9.32,6.062,1.0
0.9956,3.756,9.6,8.3,1.0
0.991,3.848,9.88,9.445,1.0
0.999,3.941,9.82,7.21,1.0
0.987,4.035,9.54,4.973,1.0
0.9043,4.125,9.26,2.738,1.0
0.778,4.22,8.98,1.498,1.0
0.9624,4.312,8.7,3.734,1.0
0.9985,4.406,8.42,5.97,1.0
0.994,4.496,8.14,8.2,1.0
0.9854,4.59,7.86,9.54,1.0
0.997,4.684,7.582,7.3,1.0
0.996,4.777,7.3,5.066,1.0
0.9365,4.87,7.023,2.83,1.0
0.7983,4.96,6.742,1.405,1.0
0.976,5.055,6.465,3.64,1.0
1.0,5.15,6.184,5.88,1.0
0.9883,5.242,5.906,8.11,1.0
0.9766,5.332,5.625,9.63,1.0
0.9917,5.426,5.348,7.395,1.0
1.0,5.52,5.066,5.16,1.0
0.964,5.613,4.785,2.924,1.0
0.8203,5.703,4.508,1.3125,1.0
0.9873,5.797,4.227,3.549,1.0
0.997,5.89,3.95,5.785,1.0
0.98,5.984,3.67,8.02,1.0
0.9644,6.08,3.389,9.73,1.0
0.9814,6.168,3.11,7.49,1.0
0.997,6.26,2.83,5.254,1.0
0.983,6.355,2.55,3.018,1.0
0.8413,6.45,2.271,1.219,1.0
0.993,6.54,1.992,3.455,1.0
0.9897,6.633,1.713,5.69,1.0
0.968,6.727,1.434,7.926,1.0
0.9497,6.82,1.153,9.82,1.0
0.9697,6.91,1.126,7.582,1.0
0.9927,7.004,1.405,5.348,1.0
0.9844,7.098,1.685,3.11,1.0
0.816,7.19,1.964,1.126,1.0
0.9854,7.285,2.244,3.361,1.0
0.997,7.375,2.523,5.598,1.0
0.985,7.47,2.803,7.832,1.0
0.9717,7.562,3.082,9.914,1.0
0.9897,7.656,3.361,7.676,1.0
0.999,7.746,3.64,5.438,1.0
0.96,7.84,3.92,3.203,1.0
0.744,7.934,4.2,1.032,1.0
0.954,8.02,4.48,3.268,1.0
0.997,8.12,4.758,5.504,1.0
0.9976,8.21,5.04,7.74,1.0
0.988,8.305,5.316,9.98,1.0
0.9985,8.4,5.598,7.77,1.0
0.9927,8.49,5.88,5.53,1.0
0.9297,8.586,6.156,3.297,1.0
0.707,8.68,6.438,1.061,1.0
0.9146,8.766,6.715,3.176,1.0
0.9844,8.86,6.996,5.41,1.0
0.9995,8.95,7.273,7.65,1.0
0.997,9.05,7.555,9.88,1.0
0.9995,9.14,7.832,7.86,1.0
0.98,9.234,8.11,5.625,1.0
0.9004,9.33,8.39,3.389,1.0
0.688,9.42,8.67,1.153,1.0
0.873,9.516,8.95,3.082,1.0
0.964,9.6,9.234,5.316,1.0
0.994,9.695,9.51,7.555,1.0
