like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,chain
0.9683,4.316,2.69,9.62,1.0,0.1683,0.003683,0.6963,0.1874,0.4263,0.477,0.1683,1.0,0.2155,0.219,0.1599,0.914,0.2125,0.003683,0.2155,1.0,0.0729,0.03693,0.2302,0.0419,0.6963,0.219,0.0729,1.0,0.10846,0.595,0.775,0.1874,0.1599,0.03693,0.10846,1.0,0.1766,0.1034,0.4263,0.914,0.2302,0.595,0.1766,1.0,0.496,0.477,0.2125,0.0419,0.775,0.1034,0.496,1.0,1.0
0.941,9.484,6.504,1.917,1.0,0.1683,0.003683,0.6963,0.1874,0.1969,0.3298,0.1683,1.0,0.2155,0.219,0.1599,0.9985,0.591,0.003683,0.2155,1.0,0.0729,0.03693,0.2462,0.11554,0.6963,0.219,0.0729,1.0,0.10846,0.2625,0.4382,0.1874,0.1599,0.03693,0.10846,1.0,0.1631,0.1489,0.1969,0.9985,0.2462,0.2625,0.1631,1.0,0.6035,0.3298,0.591,0.11554,0.4382,0.1489,0.6035,1.0,1.0
0.949,1.241,6.004,2.574,1.0,0.1683,0.003683,0.6963,0.1874,0.3943,0.3474,0.1683,1.0,0.2155,0.219,0.1599,0.9126,0.1069,0.003683,0.2155,1.0,0.0729,0.03693,0.3765,0.07227,0.6963,0.219,0.0729,1.0,0.10846,0.5605,0.6533,0.1874,0.1599,0.03693,0.10846,1.0,0.1738,0.0613,0.3943,0.9126,0.3765,0.5605,0.1738,1.0,0.3418,0.3474,0.1069,0.07227,0.6533,0.0613,0.3418,1.0,1.0
0.996,9.58,2.768,9.02,1.0,0.1683,0.003683,0.6963,0.1874,0.2966,0.4597,0.1683,1.0,0.2155,0.219,0.1599,0.9805,0.4368,0.003683,0.2155,1.0,0.0729,0.03693,0.2284,0.078,0.6963,0.219,0.0729,1.0,0.10846,0.4055,0.6836,0.1874,0.1599,0.03693,0.10846,1.0,0.1715,0.1423,0.2966,0.9805,0.2284,0.4055,0.1715,1.0,0.546,0.4597,0.4368,0.078,0.6836,0.1423,0.546,1.0,1.0
0.988,5.02,8.1,2.902,1.0,0.1683,0.003683,0.6963,0.1874,0.2465,0.3455,0.1683,1.0,0.2155,0.219,0.1599,0.9897,0.4153,0.003683,0.2155,1.0,0.0729,0.03693,0.2844,0.10693,0.6963,0.219,0.0729,1.0,0.10846,0.3372,0.5435,0.1874,0.1599,0.03693,0.10846,1.0,0.1676,0.1086,0.2465,0.9897,0.2844,0.3372,0.1676,1.0,0.4688,0.3455,0.4153,0.10693,0.5435,0.1086,0.4688,1.0,1.0
0.9785,4.598,5.0,2.113,1.0,0.1683,0.003683,0.6963,0.1874,0.232,0.3545,0.1683,1.0,0.2155,0.219,0.1599,0.994,0.488,0.003683,0.2155,1.0,0.0729,0.03693,0.2632,0.1067,0.6963,0.219,0.0729,1.0,0.10846,0.3147,0.524,0.1874,0.1599,0.03693,0.10846,1.0,0.1664,0.127,0.232,0.994,0.2632,0.3147,0.1664,1.0,0.527,0.3545,0.488,0.1067,0.524,0.127,0.527,1.0,1.0
0.9463,8.87,4.812,2.201,1.0,0.1683,0.003683,0.6963,0.1874,0.2037,0.35,0.1683,1.0,0.2155,0.219,0.1599,0.998,0.594,0.003683,0.2155,1.0,0.0729,0.03693,0.2401,0.11224,0.6963,0.219,0.0729,1.0,0.10846,0.272,0.4668,0.1874,0.1599,0.03693,0.10846,1.0,0.1637,0.155,0.2037,0.998,0.2401,0.272,0.1637,1.0,0.6113,0.35,0.594,0.11224,0.4668,0.155,0.6113,1.0,1.0
0.996,5.64,9.484,4.46,1.0,0.1683,0.003683,0.6963,0.1874,0.2737,0.3723,0.1683,1.0,0.2155,0.219,0.1599,0.984,0.3616,0.003683,0.2155,1.0,0.0729,0.03693,0.2856,0.0953,0.6963,0.219,0.0729,1.0,0.10846,0.3767,0.6035,0.1874,0.1599,0.03693,0.10846,1.0,0.1698,0.1041,0.2737,0.984,0.2856,0.3767,0.1698,1.0,0.4446,0.3723,0.3616,0.0953,0.6035,0.1041,0.4446,1.0,1.0
0.985,4.35,7.203,7.164,1.0,0.1683,0.003683,0.6963,0.1874,0.3699,0.4287,0.1683,1.0,0.2155,0.219,0.1599,0.9463,0.224,0.003683,0.2155,1.0,0.0729,0.03693,0.2754,0.05865,0.6963,0.219,0.0729,1.0,0.10846,0.516,0.7207,0.1874,0.1599,0.03693,0.10846,1.0,0.1752,0.09375,0.3699,0.9463,0.2754,0.516,0.1752,1.0,0.4294,0.4287,0.224,0.05865,0.7207,0.09375,0.4294,1.0,1.0
0.973,3.535,9.055,6.535,1.0,0.1683,0.003683,0.6963,0.1874,0.3853,0.403,0.1683,1.0,0.2155,0.219,0.1599,0.9336,0.171,0.003683,0.2155,1.0,0.0729,0.03693,0.3052,0.05902,0.6963,0.219,0.0729,1.0,0.10846,0.541,0.705,0.1874,0.1599,0.03693,0.10846,1.0,0.1753,0.0803,0.3853,0.9336,0.3052,0.541,0.1753,1.0,0.3962,0.403,0.171,0.05902,0.705,0.0803,0.3962,1.0,1.0
